# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "genome/features.saf" "-F" "SAF" "-T" "8" "-o" "data/counts.txt" "bam/wildtype-01.bam" 
Geneid	Chr	Start	End	Strand	Length	bam/wildtype-01.bam
YJR001W	X	436802	438610	+	1809	133
YJR002W	X	438865	440646	+	1782	89
YJR003C	X	440994	442553	-	1560	31
YJR004C	X	442909	444861	-	1953	38
YJR005W	X	445923	448025	+	2103	65
YJR005C-A	X	448477	448758	-	282	3
YJR006W	X	449202	450665	+	1464	66
YJR007W	X	451020	451934	+	915	131
YJR008W	X	452430	453446	+	1017	55
YJR009C	X	453683	454681	-	999	6386
YJR010W	X	456239	457774	+	1536	37
YJR010C-A	X	458077	458361	-	285	14
YJR013W	X	460382	461593	+	1212	36
YJR014W	X	461829	462425	+	597	122
YJR016C	X	464451	466208	-	1758	841
YJR017C	X	466521	467033	-	513	175
YJR019C	X	467232	468281	-	1050	92
YJR021C	X;X	468555;469264	469183;469579	-;-	945	65
YJR022W	X	469784	470113	+	330	4
YJR024C	X	470230	470964	-	735	71
YJR025C	X	471138	471671	-	534	66
YJR030C	X	483959	486196	-	2238	34
YJR031C	X	486586	490812	-	4227	43
YJR032W	X	491081	492262	+	1182	23
YJR033C	X	492378	496451	-	4074	53
YJR034W	X	496683	497009	+	327	29
YJR035W	X	497355	500612	+	3258	31
YJR036C	X	500713	503391	-	2679	31
YJR040W	X	507746	510085	+	2340	73
YJR041C	X	510239	513763	-	3525	31
YJR042W	X	514055	516289	+	2235	65
YJR043C	X	516461	517513	-	1053	21
YJR044C	X	518763	519185	-	423	65
YJR045C	X	519638	521602	-	1965	980
YJR046W	X	522048	523862	+	1815	65
YJR047C	X	524908	525381	-	474	83
YJR048W	X	526335	526664	+	330	20
YJR049C	X	526884	528476	-	1593	109
YJR050W	X	528697	529404	+	708	15
YJR051W	X	529861	531366	+	1506	75
YJR052W	X	532062	533759	+	1698	32
YJR053W	X	534027	535751	+	1725	4
YJR054W	X	536056	537549	+	1494	19
YJR055W	X	538772	539266	+	495	4
YJR057W	X	544062	544712	+	651	13
YJR058C	X	544732	545175	-	444	59
YJR059W	X	545787	548243	+	2457	231
YJR060W	X	548759	549814	+	1056	68
YJR062C	X	553476	554849	-	1374	49
YJR063W	X	555195	555572	+	378	35
YJR064W	X	555914	557602	+	1689	256
YJR065C	X	557809	559158	-	1350	243
YJR066W	X	559416	566828	+	7413	103
YJR067C	X	567019	567444	-	426	21
YJR068W	X	567643	568704	+	1062	65
YJR069C	X	568806	569399	-	594	53
YJR070C	X	569621	570598	-	978	207
YJR072C	X	570967	572124	-	1158	194
YJR073C	X	572315	572935	-	621	260
YJR074W	X	573095	573751	+	657	54
YJR075W	X	573981	575171	+	1191	102
YJR076C	X	575354	576601	-	1248	140
YJR077C	X	577255	578190	-	936	265
YJR078W	X	578860	580221	+	1362	4
YJR080C	X	580432	581616	-	1185	65
YJR082C	X	581914	582255	-	342	28
YJR083C	X	582608	583537	-	930	30
YJR084W	X	583733	585004	+	1272	43
YJR086W	X	586068	586400	+	333	20
YJR088C	X	586495	587373	-	879	42
YJR089W	X	587718	590582	+	2865	39
YJR090C	X	590872	594327	-	3456	64
YJR091C	X	595061	598336	-	3276	185
YJR092W	X	598735	603078	+	4344	57
YJR093C	X	603220	604203	-	984	64
YJR094C	X	604569	605651	-	1083	5
YJR094W-A	X;X	608305;608582	608306;608858	+;+	279	557
YJR095W	X	609773	610741	+	969	1
YJR097W	X	612413	612931	+	519	0
YJR099W	X	615576	616286	+	711	25
YJR100C	X	616351	617334	-	984	31
YJR101W	X	618234	619034	+	801	40
YJR102C	X	619157	619765	-	609	21
YJR103W	X	620754	622490	+	1737	225
YJR104C	X	622550	623014	-	465	2216
YJR105W	X	623581	624603	+	1023	575
YJR106W	X	624838	627015	+	2178	36
YJR107W	X	627340	628326	+	987	25
YJR108W	X	628712	629083	+	372	4
YJR109C	X	629585	632941	-	3357	205
YJR110W	X	633615	635681	+	2067	44
YJR111C	X	635855	636706	-	852	45
YJR112W	X	637030	637635	+	606	23
YJR113C	X	638232	638975	-	744	58
YJR114W	X	638659	639051	+	393	3
YJR116W	X	640825	641664	+	840	68
YJR117W	X	642007	643368	+	1362	124
YJR118C	X	643490	644101	-	612	36
YJR119C	X	644304	646490	-	2187	7
YJR121W	X	647607	649142	+	1536	582
YJR122W	X	649776	651269	+	1494	19
YJR123W	X	651901	652578	+	678	3278
YJR125C	X	654737	655963	-	1227	178
YJR126C	X	656254	658689	-	2436	169
YJR127C	X	658917	663059	-	4143	141
YJR129C	X	664000	665019	-	1020	13
YJR130C	X	665218	667137	-	1920	89
YJR131W	X	667644	669293	+	1650	38
YJR132W	X	669522	672668	+	3147	43
YJR133W	X	672991	673620	+	630	57
YJR134C	X	673729	675852	-	2124	82
YJR135C	X	676059	676778	-	720	6
YJR135W-A	X	676971	677234	+	264	43
YJR136C	X	677441	678706	-	1266	15
YJR137C	X	678957	683285	-	4329	63
YJR138W	X	684567	689321	+	4755	25
YJR139C	X	689445	690524	-	1080	369
YJR140C	X	690750	695696	-	4947	40
YJR141W	X	695906	696949	+	1044	22
YJR143C	X	698326	700614	-	2289	252
YJR144W	X	700882	701691	+	810	73
YJR145C	X;X	702027;703055	702798;703068	-;-	786	1635
YJR147W	X	704196	705272	+	1077	57
YJR148W	X	705744	706874	+	1131	331
YJR150C	X	708811	709707	-	897	12
YJR151C	X	712255	715740	-	3486	18
YJR152W	X	719666	721297	+	1632	19
YJR153W	X	722815	723900	+	1086	8
YJR155W	X	727405	728271	+	867	40
YJR156C	X	728574	729596	-	1023	3
YJR158W	X	732440	734143	+	1704	0
YJR159W	X	736044	737117	+	1074	1
YJR160C	X	738008	739816	-	1809	0
YJR161C	X	742848	743999	-	1152	1
YKL224C	XI	1810	2181	-	372	0
YKL221W	XI	6107	7528	+	1422	2
YKL220C	XI	9091	11226	-	2136	18
YKL219W	XI	14485	15708	+	1224	28
YKL218C	XI	17359	18339	-	981	80
YKL217W	XI	22234	24084	+	1851	31
YKL216W	XI	25215	26159	+	945	624
YKL215C	XI	26827	30687	-	3861	59
YKL214C	XI	31082	31693	-	612	27
YKL213C	XI	31960	34107	-	2148	145
YKL212W	XI	34543	36414	+	1872	263
YKL211C	XI	36699	38153	-	1455	148
YKL210W	XI	39163	42237	+	3075	338
YKL209C	XI	42423	46295	-	3873	81
YKL208W	XI	47157	47972	+	816	18
YKL206C	XI	49006	49809	-	804	42
YKL205W	XI	50051	53353	+	3303	48
YKL204W	XI	53704	55602	+	1899	111
YKL203C	XI	55935	63359	-	7425	93
YKL201C	XI	63930	67466	-	3537	53
YKL198C	XI	68232	70220	-	1989	138
YKL197C	XI	70734	73865	-	3132	37
YKL196C	XI	74932	75534	-	603	164
YKL195W	XI	75821	77032	+	1212	223
YKL194C	XI	77258	78646	-	1389	34
YKL193C	XI	78866	79882	-	1017	43
YKL192C	XI	80160	80537	-	378	142
YKL191W	XI	81035	82639	+	1605	93
YKL190W	XI;XI	82947;83075	82998;83550	+;+	528	112
YKL189W	XI	84704	85903	+	1200	25
YKL188C	XI	86225	88786	-	2562	22
YKL187C	XI	89284	91536	-	2253	32
YKL186C	XI	92744	93298	-	555	59
YKL185W	XI	94499	96265	+	1767	131
YKL184W	XI	96757	98157	+	1401	114
YKL183W	XI	98721	99641	+	921	73
YKL182W	XI	100671	106826	+	6156	955
YKL181W	XI	107316	108599	+	1284	370
YKL180W	XI;XI	109269;109884	109577;110129	+;+	555	1109
YKL179C	XI	110464	112503	-	2040	75
YKL178C	XI	113215	114627	-	1413	0
YKL176C	XI	115500	117986	-	2487	72
YKL175W	XI	118793	120304	+	1512	111
YKL174C	XI	120380	122236	-	1857	60
YKL173W	XI	122517	125543	+	3027	55
YKL172W	XI	125759	127042	+	1284	117
YKL171W	XI	127475	130261	+	2787	63
YKL170W	XI	130634	131050	+	417	68
YKL168C	XI	131288	133462	-	2175	51
YKL167C	XI	133721	134134	-	414	29
YKL166C	XI	134509	135705	-	1197	23
YKL165C	XI	137932	140691	-	2760	39
YKL164C	XI	141794	142819	-	1026	332
YKL163W	XI	144401	145378	+	978	42
YKL161C	XI	149386	150687	-	1302	22
YKL160W	XI	153269	153706	+	438	130
YKL159C	XI	153816	154451	-	636	46
YKL157W	XI;XI	154991;155655	155271;158232	+;+	2859	217
YKL156W	XI;XI	158613;158967	158615;159212	+;+	249	284
YKL155C	XI	159456	161342	-	1887	29
YKL154W	XI	161601	162335	+	735	42
YKL152C	XI	163642	164385	-	744	8974
YKL151C	XI	164917	165930	-	1014	150
YKL150W	XI	166544	167452	+	909	224
YKL149C	XI	167612	168829	-	1218	16
YKL148C	XI	169207	171129	-	1923	225
YKL146W	XI	171783	173861	+	2079	95
YKL145W	XI	174213	175616	+	1404	484
YKL144C	XI	175843	176481	-	639	16
YKL143W	XI	176781	178172	+	1392	60
YKL142W	XI	178515	179174	+	660	120
YKL141W	XI	179667	180263	+	597	83
YKL140W	XI	180779	182425	+	1647	103
YKL139W	XI	182958	184544	+	1587	26
YKL138C-A	XI	184803	185012	-	210	34
YKL138C	XI	185286	185681	-	396	32
YKL137W	XI	185957	186292	+	336	26
YKL135C	XI	186460	188640	-	2181	93
YKL134C	XI	189124	191442	-	2319	29
YKL132C	XI	193574	194866	-	1293	15
YKL130C	XI	195288	196028	-	741	27
YKL129C	XI	196349	200167	-	3819	135
YKL128C	XI	200884	201771	-	888	100
YKL127W	XI	203541	205253	+	1713	152
YKL126W	XI	205707	207749	+	2043	239
YKL125W	XI	208247	210130	+	1884	25
YKL124W	XI	210593	212332	+	1740	42
YKL122C	XI	212495	212998	-	504	48
YKL121W	XI	214142	216700	+	2559	40
YKL120W	XI	217344	218318	+	975	54
YKL119C	XI	218570	219217	-	648	28
YKL117W	XI	220324	220974	+	651	589
YKL116C	XI	221344	222900	-	1557	35
YKL114C	XI	223352	224455	-	1104	48
YKL113C	XI	224727	225875	-	1149	56
YKL112W	XI	226570	228765	+	2196	59
YKL110C	XI	228939	229880	-	942	34
YKL109W	XI	232227	233891	+	1665	199
YKL108W	XI	234426	235787	+	1362	13
YKL106W	XI	237536	238891	+	1356	38
YKL105C	XI	239185	242583	-	3399	85
YKL104C	XI	243220	245373	-	2154	266
YKL101W	XI	248920	253476	+	4557	107
YKL100C	XI	253697	255460	-	1764	163
YKL099C	XI	255720	256472	-	753	16
YKL098W	XI	256770	257843	+	1074	90
YKL096W-A	XI	259253	259531	+	279	1462
YKL096W	XI	261132	261851	+	720	344
YKL095W	XI	262277	263113	+	837	19
YKL094W	XI	263349	264290	+	942	188
YKL093W	XI	264789	265808	+	1020	28
YKL092C	XI	266145	269459	-	3315	20
YKL091C	XI	269718	270650	-	933	76
YKL090W	XI	271878	273209	+	1332	21
YKL089W	XI	273394	275043	+	1650	12
YKL088W	XI	275283	276998	+	1716	94
YKL087C	XI	277189	277863	-	675	54
YKL086W	XI	278281	278664	+	384	14
YKL085W	XI	279123	280127	+	1005	391
YKL084W	XI	280509	280859	+	351	28
YKL082C	XI	281025	282329	-	1305	62
YKL081W	XI;XI	282891;283422	283095;284455	+;+	1239	1101
YKL080W	XI	285030	286208	+	1179	212
YKL079W	XI	286603	288573	+	1971	45
YKL078W	XI	288845	291052	+	2208	8
YKL076C	XI	292838	293221	-	384	19
YKL074C	XI	294610	296193	-	1584	23
YKL073W	XI	296430	299075	+	2646	61
YKL072W	XI	299582	301882	+	2301	22
YKL069W	XI	307285	307827	+	543	27
YKL068W	XI	310199	313078	+	2880	74
YKL067W	XI	314812	315273	+	462	192
YKL065C	XI	316437	317057	-	621	165
YKL064W	XI	317764	320673	+	2910	203
YKL062W	XI	323228	325120	+	1893	194
YKL061W	XI	325771	326112	+	342	11
YKL060C	XI	326408	327487	-	1080	17285
YKL059C	XI	328118	329443	-	1326	44
YKL058W	XI	330166	330534	+	369	60
YKL057C	XI	330856	333969	-	3114	61
YKL056C	XI	334412	334915	-	504	2318
YKL055C	XI	335321	336157	-	837	6
YKL054C	XI	336537	338753	-	2217	256
YKL053C-A	XI	339182	339442	-	261	66
YKL052C	XI	339668	340546	-	879	70
YKL051W	XI	341312	342373	+	1062	110
YKL049C	XI	346075	346764	-	690	22
YKL048C	XI	347214	349136	-	1923	17
YKL047W	XI	349463	351013	+	1551	35
YKL046C	XI	351275	352624	-	1350	258
YKL045W	XI	353493	355079	+	1587	33
YKL044W	XI	356322	356642	+	321	3
YKL043W	XI	356748	357848	+	1101	182
YKL042W	XI	358475	359566	+	1092	17
YKL041W	XI	360143	360817	+	675	51
YKL040C	XI	361058	361828	-	771	45
YKL039W	XI	362622	364193	+	1572	233
YKL038W	XI	365605	369117	+	3513	129
YKL037W	XI	369365	369721	+	357	9
YKL035W	XI	369891	371390	+	1500	740
YKL034W	XI	371829	374105	+	2277	66
YKL033W	XI	375456	378572	+	3117	18
YKL032C	XI	380065	381858	-	1794	166
YKL029C	XI	382716	384725	-	2010	230
YKL028W	XI	385758	387206	+	1449	108
YKL027W	XI	387562	388905	+	1344	58
YKL026C	XI	389380	389883	-	504	17
YKL025C	XI	390240	392279	-	2040	62
YKL024C	XI	392526	393140	-	615	155
YKL022C	XI	394726	397248	-	2523	46
YKL021C	XI	397344	398750	-	1407	56
YKL020C	XI	398832	402080	-	3249	80
YKL019W	XI	402568	403518	+	951	132
YKL018W	XI	404102	405091	+	990	30
YKL017C	XI	405190	407241	-	2052	45
YKL016C	XI	407465	407989	-	525	97
YKL015W	XI	408544	411483	+	2940	63
YKL014C	XI	411619	416913	-	5295	75
YKL013C	XI	417508	418023	-	516	146
YKL012W	XI	418310	420061	+	1752	74
YKL011C	XI	420155	421216	-	1062	6
YKL010C	XI	421424	425875	-	4452	71
YKL009W	XI	426242	426952	+	711	71
YKL008C	XI	427295	428551	-	1257	103
YKL007W	XI	429302	430108	+	807	134
YKL006C-A	XI;XI	430198;430597	430455;430632	-;-	294	11
YKL006W	XI;XI	431906;432433	432034;432720	+;+	417	526
YKL005C	XI	433093	434877	-	1785	45
YKL004W	XI	435580	436785	+	1206	122
YKL003C	XI	437097	437492	-	396	37
YKL002W	XI;XI	437778;437906	437837;438544	+;+	699	134
YKL001C	XI	438777	439385	-	609	35
YKR001C	XI	440608	442722	-	2115	222
YKR002W	XI	443232	444938	+	1707	68
YKR003W	XI	445381	446727	+	1347	84
YKR004C	XI;XI	446799;447811	447706;448036	-;-	1134	9
YKR006C	XI	450423	451217	-	795	47
YKR007W	XI	451434	451988	+	555	92
YKR008W	XI	452201	454078	+	1878	39
YKR009C	XI	454352	457054	-	2703	39
YKR010C	XI	458924	461239	-	2316	25
YKR011C	XI	461635	462696	-	1062	53
YKR013W	XI	463959	464948	+	990	252
YKR014C	XI	465367	466071	-	705	159
YKR017C	XI	471694	473349	-	1656	29
YKR019C	XI	476216	478063	-	1848	39
YKR020W	XI	478338	478832	+	495	29
YKR021W	XI	479234	481981	+	2748	58
YKR022C	XI	482171	483139	-	969	40
YKR024C	XI	485144	487372	-	2229	10
YKR025W	XI	487770	488618	+	849	62
YKR026C	XI	488738	489655	-	918	91
YKR027W	XI	491364	493661	+	2298	46
YKR028W	XI	494257	497358	+	3102	152
YKR029C	XI	497578	499833	-	2256	28
YKR030W	XI	500282	501103	+	822	33
YKR031C	XI	501344	506395	-	5052	86
YKR034W	XI	506898	507707	+	810	0
YKR035C	XI	507920	508561	-	642	2
YKR035W-A	XI	507939	508553	+	615	0
YKR036C	XI	508702	510633	-	1932	46
YKR037C	XI	510910	511797	-	888	18
YKR038C	XI	511999	513159	-	1161	75
YKR039W	XI	515063	516871	+	1809	66
YKR042W	XI	519527	520624	+	1098	1849
YKR043C	XI	520897	521712	-	816	290
YKR044W	XI	522015	523346	+	1332	50
YKR046C	XI	524223	525074	-	852	137
YKR048C	XI	525387	526640	-	1254	400
YKR049C	XI	526830	527231	-	402	74
YKR050W	XI	527815	530484	+	2670	99
YKR052C	XI	532550	533464	-	915	48
YKR053C	XI	534067	535281	-	1215	66
YKR054C	XI	535647	547925	-	12279	53
YKR055W	XI	548216	549091	+	876	17
YKR056W	XI	549448	551367	+	1920	32
YKR057W	XI;XI	551657;552003	551680;552242	+;+	264	1179
YKR058W	XI	552770	554620	+	1851	226
YKR059W	XI	554987	556174	+	1188	165
YKR060W	XI	556518	557342	+	825	6
YKR061W	XI	557677	558954	+	1278	26
YKR062W	XI	559666	560652	+	987	50
YKR063C	XI	560789	562297	-	1509	27
YKR064W	XI	562547	565138	+	2592	30
YKR065C	XI	565299	565892	-	594	86
YKR066C	XI	566113	567198	-	1086	293
YKR067W	XI	567918	570149	+	2232	124
YKR068C	XI	570328	570909	-	582	46
YKR069W	XI	571612	573393	+	1782	42
YKR071C	XI	574934	575980	-	1047	61
YKR072C	XI	576435	578123	-	1689	135
YKR074W	XI	579209	579676	+	468	59
YKR076W	XI	582283	583395	+	1113	50
YKR077W	XI	583653	584744	+	1092	16
YKR079C	XI	586789	589305	-	2517	26
YKR080W	XI	590395	591357	+	963	404
YKR081C	XI	591506	592540	-	1035	67
YKR082W	XI	592825	596298	+	3474	33
YKR083C	XI	596421	596822	-	402	23
YKR084C	XI	597055	598890	-	1836	103
YKR085C	XI	599094	599681	-	588	52
YKR086W	XI	599857	603072	+	3216	39
YKR087C	XI	603195	604232	-	1038	31
YKR088C	XI	604405	605418	-	1014	62
YKR089C	XI	605633	608365	-	2733	172
YKR090W	XI	608946	611066	+	2121	64
YKR091W	XI	611525	612265	+	741	134
YKR092C	XI	612665	613885	-	1221	45
YKR093W	XI	615730	617535	+	1806	51
YKR094C	XI;XI	617996;618743	618374;618750	-;-	387	814
YKR095W	XI	619805	625432	+	5628	138
YKR095W-A	XI;XI	625864;625977	625901;626205	+;+	267	15
YKR096W	XI	626793	630380	+	3588	71
YKR097W	XI	631152	632801	+	1650	7
YKR098C	XI	633026	635179	-	2154	50
YKR099W	XI	635851	638286	+	2436	18
YKR100C	XI	638901	639968	-	1068	57
YKR101W	XI	640540	642504	+	1965	13
YKR102W	XI	646356	649865	+	3510	14
YKR103W	XI	653080	656736	+	3657	7
YKR104W	XI	656836	657756	+	921	1
YKR105C	XI	658716	660464	-	1749	1
YKR106W	XI	661442	663289	+	1848	6
YLL065W	XII	11726	12076	+	351	0
YLL064C	XII	13083	13445	-	363	5
YLL063C	XII	14648	16072	-	1425	16
YLL062C	XII	16639	17613	-	975	18
YLL061W	XII	17956	19707	+	1752	60
YLL060C	XII	21138	21839	-	702	44
YLL057C	XII	25756	26994	-	1239	12
YLL055W	XII	30109	31704	+	1596	32
YLL052C	XII	35912	36361	-	450	17
YLL051C	XII	37333	39471	-	2139	81
YLL050C	XII;XII	39804;40401	40221;40414	-;-	432	326
YLL049W	XII	40666	41205	+	540	20
YLL048C	XII	41280	46265	-	4986	189
YLL046C	XII	46714	47463	-	750	0
YLL045C	XII	47859	48629	-	771	1959
YLL043W	XII	49938	51947	+	2010	234
YLL042C	XII	52087	52590	-	504	3
YLL041C	XII	53131	53931	-	801	130
YLL040C	XII	54211	63645	-	9435	190
YLL039C	XII	64062	65207	-	1146	19
YLL038C	XII	65775	66518	-	744	23
YLL036C	XII	66745	68256	-	1512	74
YLL035W	XII	68580	70478	+	1899	14
YLL034C	XII	70633	73146	-	2514	40
YLL033W	XII	73409	74101	+	693	6
YLL031C	XII	77152	80205	-	3054	71
YLL030C	XII	80356	80697	-	342	1
YLL029W	XII	81461	83710	+	2250	170
YLL028W	XII	84804	86564	+	1761	51
YLL027W	XII	87403	88155	+	753	107
YLL026W	XII	88623	91349	+	2727	1255
YLL025W	XII	94747	95121	+	375	4
YLL024C	XII	95566	97485	-	1920	1093
YLL023C	XII	97997	98836	-	840	111
YLL022C	XII	99044	100201	-	1158	56
YLL021W	XII	100947	105347	+	4401	99
YLL019C	XII	105686	107899	-	2214	100
YLL018C-A	XII	108676	108972	-	297	50
YLL018C	XII	109902	111575	-	1674	532
YLL015W	XII	116432	121111	+	4680	139
YLL014W	XII	121322	121648	+	327	50
YLL013C	XII	122075	124714	-	2640	47
YLL012W	XII	125534	127255	+	1722	68
YLL011W	XII	127523	128992	+	1470	18
YLL010C	XII	129330	130613	-	1284	66
YLL009C	XII	131205	131414	-	210	44
YLL008W	XII	131729	133987	+	2259	62
YLL007C	XII	134302	136299	-	1998	24
YLL006W	XII	136586	137866	+	1281	26
YLL005C	XII	137940	140546	-	2607	16
YLL004W	XII	141073	142923	+	1851	10
YLL003W	XII	143201	146041	+	2841	25
YLL002W	XII	146291	147601	+	1311	8
YLL001W	XII	147890	150163	+	2274	70
YLR002C	XII	154343	156334	-	1992	29
YLR003C	XII	156855	157730	-	876	8
YLR004C	XII	157934	159505	-	1572	10
YLR005W	XII	160049	161434	+	1386	66
YLR006C	XII	161755	163893	-	2139	93
YLR007W	XII	164392	165402	+	1011	39
YLR008C	XII	165577	166083	-	507	27
YLR009W	XII	166537	167136	+	600	55
YLR010C	XII	167320	167802	-	483	5
YLR011W	XII	169103	169678	+	576	24
YLR013W	XII	171339	171764	+	426	0
YLR014C	XII	172268	174982	-	2715	8
YLR015W	XII	175227	176744	+	1518	22
YLR016C	XII	176802	177416	-	615	37
YLR017W	XII	177608	178621	+	1014	69
YLR018C	XII	178707	179606	-	900	58
YLR019W	XII	180288	181481	+	1194	141
YLR020C	XII	181789	183405	-	1617	52
YLR021W	XII	183623	184162	+	540	28
YLR022C	XII	184174	184926	-	753	18
YLR023C	XII	185498	187129	-	1632	71
YLR024C	XII	187663	193281	-	5619	47
YLR025W	XII	194452	195174	+	723	196
YLR026C	XII	195450	196472	-	1023	61
YLR027C	XII	196829	198085	-	1257	434
YLR028C	XII	199540	201315	-	1776	437
YLR029C	XII	201976	202590	-	615	1676
YLR032W	XII	204991	208500	+	3510	34
YLR033W	XII	208761	210269	+	1509	41
YLR034C	XII	210512	211933	-	1422	73
YLR035C	XII	212369	214456	-	2088	16
YLR037C	XII	222685	223059	-	375	14
YLR038C	XII	224921	225172	-	252	28
YLR039C	XII	225426	228596	-	3171	29
YLR040C	XII	228908	229582	-	675	18
YLR043C	XII	231702	232013	-	312	196
YLR044C	XII	232390	234081	-	1692	14895
YLR045C	XII	235037	237703	-	2667	77
YLR046C	XII	238001	238813	-	813	16
YLR047C	XII	239347	241407	-	2061	18
YLR048W	XII;XII	242232;242681	242321;243349	+;+	759	1027
YLR051C	XII	246324	246977	-	654	15
YLR052W	XII	247201	247953	+	753	38
YLR054C	XII;XII	248717;250948	250860;250978	-;-	2175	10
YLR055C	XII	251272	253080	-	1809	98
YLR056W	XII	253861	254958	+	1098	485
YLR057W	XII	255306	257855	+	2550	36
YLR058C	XII	257992	259401	-	1410	1017
YLR059C	XII	259738	260547	-	810	78
YLR060W	XII	260979	262766	+	1788	377
YLR061W	XII;XII	263194;263595	263205;263948	+;+	366	5
YLR062C	XII	263577	263954	-	378	0
YLR063W	XII	264157	265254	+	1098	2
YLR064W	XII	265456	266277	+	822	38
YLR065C	XII	266373	266918	-	546	86
YLR066W	XII	267169	267723	+	555	59
YLR067C	XII	267813	270710	-	2898	26
YLR068W	XII	271008	271463	+	456	13
YLR069C	XII	271630	273915	-	2286	131
YLR070C	XII	274141	275211	-	1071	30
YLR071C	XII	275378	278626	-	3249	62
YLR072W	XII	278862	280943	+	2082	100
YLR073C	XII	281019	281621	-	603	4
YLR074C	XII	281956	282456	-	501	88
YLR075W	XII	282927	283592	+	666	3113
YLR077W	XII	283872	285623	+	1752	73
YLR078C	XII;XII	285736;286557	286467;286559	-;-	735	34
YLR079W	XII	286820	287674	+	855	80
YLR080W	XII	287916	289250	+	1335	26
YLR081W	XII	290212	291936	+	1725	17
YLR082C	XII	292394	293572	-	1179	10
YLR083C	XII	294091	296094	-	2004	140
YLR084C	XII	296589	300251	-	3663	46
YLR085C	XII	300673	301989	-	1317	65
YLR086W	XII	302243	306499	+	4257	53
YLR087C	XII	306855	315731	-	8877	38
YLR088W	XII	316107	317951	+	1845	45
YLR089C	XII	318237	320015	-	1779	273
YLR090W	XII	320701	322080	+	1380	67
YLR091W	XII	322297	323178	+	882	22
YLR092W	XII	323544	326225	+	2682	38
YLR093C	XII;XII	326513;327400	327258;327415	-;-	762	116
YLR094C	XII	327730	329238	-	1509	57
YLR095C	XII	329677	332115	-	2439	83
YLR096W	XII	332590	336033	+	3444	100
YLR097C	XII	336231	337265	-	1035	31
YLR098C	XII	337527	339473	-	1947	22
YLR099C	XII	339744	340928	-	1185	77
YLR099W-A	XII	341325	341588	+	264	72
YLR100W	XII	341810	342853	+	1044	177
YLR102C	XII	342970	343767	-	798	24
YLR103C	XII	343989	345941	-	1953	19
YLR104W	XII	346585	346980	+	396	24
YLR105C	XII	347047	348180	-	1134	40
YLR106C	XII	349006	363738	-	14733	292
YLR107W	XII	364116	365330	+	1215	29
YLR109W	XII	368781	369311	+	531	3033
YLR110C	XII	369697	370098	-	402	8375
YLR113W	XII	371620	372927	+	1308	378
YLR114C	XII	374944	377238	-	2295	88
YLR115W	XII	377985	380564	+	2580	39
YLR116W	XII	380822	382252	+	1431	55
YLR117C	XII	382471	384534	-	2064	39
YLR118C	XII	384725	385408	-	684	49
YLR119W	XII	385534	386175	+	642	12
YLR120C	XII	386511	388220	-	1710	339
YLR121C	XII	388744	390270	-	1527	216
YLR127C	XII	395758	398319	-	2562	27
YLR128W	XII;XII	398530;398627	398532;399433	+;+	810	26
YLR129W	XII	399657	402488	+	2832	45
YLR130C	XII	402794	404062	-	1269	115
YLR131C	XII	404510	406822	-	2313	71
YLR132C	XII	407283	408155	-	873	28
YLR133W	XII	408445	410193	+	1749	75
YLR134W	XII	410723	412414	+	1692	44
YLR135W	XII	413281	415527	+	2247	12
YLR136C	XII	415801	416658	-	858	25
YLR137W	XII	417006	418109	+	1104	25
YLR138W	XII	418437	421394	+	2958	244
YLR139C	XII	421542	423473	-	1932	29
YLR141W	XII	423683	424774	+	1092	22
YLR142W	XII	425186	426616	+	1431	21
YLR143W	XII	427329	429386	+	2058	35
YLR144C	XII	429677	432016	-	2340	41
YLR145W	XII	432168	432773	+	606	8
YLR146C	XII	432823	433725	-	903	38
YLR147C	XII	434158	434463	-	306	28
YLR148W	XII	434641	437397	+	2757	23
YLR150W	XII	440467	441288	+	822	2118
YLR151C	XII	441715	442737	-	1023	24
YLR153C	XII	445524	447575	-	2052	457
YLR154C	XII	447982	448314	-	333	22
YLR154W-A	XII	452438	452623	+	186	0
YLR154W-C	XII	454696	455070	+	375	0
YLR155C	XII	469317	470405	-	1089	0
YLR157C	XII	472969	474057	-	1089	0
YLR157W-D	XII	475764	475976	+	213	0
YLR157W-E	XII	481873	482037	+	165	0
YLR158C	XII	482549	483637	-	1089	0
YLR160C	XII	486201	487289	-	1089	0
YLR162W-A	XII	490406	490594	+	189	1
YLR163C	XII	491866	493254	-	1389	59
YLR164W	XII	493883	494389	+	507	23
YLR165C	XII	494494	495258	-	765	15
YLR166C	XII	495429	498044	-	2616	36
YLR167W	XII	498947	499405	+	459	4584
YLR168C	XII	499578	500270	-	693	21
YLR170C	XII	500579	501049	-	471	56
YLR172C	XII	501260	502162	-	903	116
YLR174W	XII	504591	505829	+	1239	11
YLR175W	XII	506134	507585	+	1452	435
YLR176C	XII	507797	510232	-	2436	37
YLR178C	XII	513162	513821	-	660	175
YLR180W	XII	515262	516410	+	1149	691
YLR181C	XII	516678	517670	-	993	58
YLR182W	XII	517940	520351	+	2412	50
YLR183C	XII	520543	522012	-	1470	23
YLR185W	XII;XII	522663;523029	522669;523288	+;+	267	464
YLR186W	XII	523632	524390	+	759	48
YLR187W	XII	524865	527945	+	3081	33
YLR188W	XII	528300	530387	+	2088	71
YLR189C	XII	530797	534393	-	3597	83
YLR190W	XII	535214	536689	+	1476	47
